node_idx,node_label,node_type,gene,NodeDelta,Direction,RewiredDegree,WeightedRewiredDegree,LocalClusteringCoefficient,NodeDeltaScaled,WeightedRewiredDegreeScaled,LocalClusteringScaled,NodeSmokingAssociationScore,NodeSmokingAssociationScoreScaled,NodeSmokingAssociationExposureCol,ExposureNodeScore_smoking_intensity,FinalNodePriorityScore,NodeDeltaRank,WeightedRewiredDegreeRank,LocalClusteringRank,NetworkWeightedNodeScore,StrictNetworkWeightedNodeScore,CancerNodeScore,CombinedNodeScore,IsTopNetworkWeightedGene10pct
104,GENE:G0104,gene,G0104,3.9271981716156006,1,2,0.23914092034101486,0.0,1.0,0.23064574756772094,0.0,0.854865148256053,0.9119145577618991,smoking_intensity,0.854865148256053,0.9559572788809496,1.0,0.57,0.5,0.9559572788809496,0.4802559188273695,3.9271981716156006,0.9559572788809496,True
18,GENE:G0018,gene,G0018,3.5797524452209473,1,1,0.10418663918972015,0.0,0.9104813118618881,0.1004855432027875,0.0,0.9111209643805814,0.9838831731376215,smoking_intensity,0.9111209643805814,0.9471822424997548,0.98,0.32,0.5,0.9471822424997548,0.28861761154567933,3.5797524452209473,0.9471822424997548,True
17,GENE:G0017,gene,G0017,3.7158749103546143,1,1,0.11568783968687057,0.0,0.9455529894770865,0.11157817838546034,0.0,0.8747742606786675,0.9373844798628145,smoking_intensity,0.8747742606786675,0.9414687346699505,0.99,0.39,0.5,0.9414687346699505,0.3158460903976564,3.7158749103546143,0.9414687346699505,True
0,GENE:G0000,gene,G0000,3.579184055328369,1,0,0.0,0.0,0.9103348673565475,0.0,0.0,0.8941558981572446,0.9621795981126272,smoking_intensity,0.8941558981572446,0.9362572327345873,0.975,0.1025,0.5,0.9362572327345873,9.103348673565475e-07,3.579184055328369,0.9362572327345873,True
38,GENE:G0038,gene,G0038,3.4326517581939697,1,1,0.10277298092842102,0.0,0.8725811175969783,0.09912210332801548,0.0,0.8992711784284894,0.9687236261570399,smoking_intensity,0.8992711784284894,0.9206523718770091,0.945,0.305,0.5,0.9206523718770091,0.2747204981045392,3.4326517581939697,0.9206523718770091,True
31,GENE:G0031,gene,G0031,3.358743667602539,1,1,0.09496548771858215,0.0,0.8535388476540103,0.09159196124507417,0.0,0.9053432737144992,0.9764917170011267,smoking_intensity,0.9053432737144992,0.9150152823275686,0.91,0.245,0.5,0.9150152823275686,0.25831639522527,3.358743667602539,0.9150152823275686,True
11,GENE:G0011,gene,G0011,3.7612409591674805,1,2,0.2706383541226387,0.0,0.9572414601279658,0.2610242756367268,0.0,0.8204566083019968,0.8678953763120734,smoking_intensity,0.8204566083019968,0.9125684182200196,0.995,0.63,0.5,0.9125684182200196,0.4890597822648051,3.7612409591674805,0.9125684182200196,True
6,GENE:G0006,gene,G0006,3.3925821781158447,1,2,0.2540820986032486,0.0,0.8622572713949835,0.24505615974193737,0.0,0.8927206756350968,0.9603435039131158,smoking_intensity,0.8927206756350968,0.9113003876540497,0.935,0.605,0.5,0.9113003876540497,0.42684448758373644,3.3925821781158447,0.9113003876540497,True
23,GENE:G0023,gene,G0023,3.3709044456481934,1,1,0.20874661207199097,0.0,0.8566720475027522,0.20133115790018905,0.0,0.8931132151283339,0.9608456835232386,smoking_intensity,0.8931132151283339,0.9087588655129955,0.915,0.515,0.5,0.9087588655129955,0.38438823976431885,3.3709044456481934,0.9087588655129955,True
5,GENE:G0005,gene,G0005,3.4516818523406982,1,0,0.0,0.0,0.8774841828349284,0.0,0.0,0.8761481489049969,0.9391421084982442,smoking_intensity,0.8761481489049969,0.9083131456665863,0.955,0.1025,0.5,0.9083131456665863,8.774841828349283e-07,3.4516818523406982,0.9083131456665863,True
